Title,City,Descriptions
Programador.NET C# Semi senior o Junior ( Remoto),"Ciudad Autónoma de Buenos Aires, Buenos Aires","Importante empresa  dedicada a el diseño, desarrollo, implementación y mantenimiento de Software de gestión (ERP) para agencias de publicidad con mas de 30 años en el mercado, incorpora Programador.NET C# Semi senior o Junior.Misión del Puesto:Responsable por el diseño, desarrollo y mantenimiento de software ERP, (programar, adaptar e integrar), conforme a los pedidos del cliente (interno o externo), ajustándose a tiempos, estándares de calidad y trabajo de la organización y del proyecto, para ser integrados en la aplicación ERP de la empresa, dando continuidad al negocio o sean parte de nuevas oportunidades.Los desarrollos a realizar abarcan tanto la aplicación Desktop, como Web, y Mobile, además de herramientas periféricas a las mismas, como ser por ejemplo el validador de instalaciones de MP4.Como parte del mantenimiento de los desarrollos, el programador realizará correcciones de bugs, y refactor de código fuente. También debe escribir los tests unitarios y de integración necesarios.Responsabilidades:Las principales responsabilidades del puesto a cubrir consisten en:Trabajar sobre el mantenimiento correctivo / evolutivo y la evolución tecnológica a .NET (C#) del principal producto Desktop desarrollado por la empresa, que consiste en un ERP para agencias de publicidad.Trabajar sobre el desarrollo y mantenimiento de un producto Web propio desarrollado utilizando MVC3.Escribir tests unitarios y de integración que se ejecutarán automáticamente en un ambiente de integración continua usando Jenkins (https://jenkins.io/)Con el transcurso del tiempo los desarrolladores, de acuerdo a su incorporación de conocimiento del negocio y skills técnicos podrán sumarse a otras tareas del área consistentes en:El desarrollo y mantenimiento de un producto Web propio desarrollado utilizando Angular.El desarrollo de interfaces del sistema de la empresa con otros productos del mercado, aprovechando disponibilidad de servicios en la nube (Microsoft Azure)El equipo trabaja utilizando Scrum y metodologías ágiles, escribiendo user stories y realizando periódicamente ceremonias de planificación, daylies, y retrospectivas, como así también de pesaje de backlog.Otras tecnologías utilizadas:Base de datos: SQL Server – ORM: nHibernateServicios: WCF, API RESTEscritura de escenarios / documentación viva: Specflow (https://specflow.org/)Tests automatizados: Selenium (https://www.seleniumhq.org/)Skills tecnológicos solicitados:Sólidos conocimientos y experiencia:Para Semi Senior experiencia no menor a 2 años.Para Junior: 1 año de experiencia y/o con estudios avanzados en carrera de sistemas.Desarrollo y/o mantenimiento de aplicaciones Cliente-ServidorDominio de los siguientes lenguajes / herramientas.NET (C#) (MVC FrameworkSQL ServernHibernate ORMWCF o similarIIS (D),AngularDesarrollo de Unit Tests, Tests de IntegraciónConocimientos de Integración ContinuaMetodologías de desarrollo ágil de software, ejemplo Scrum .BENEFICIOS:Modo de contratación: Relación de dependencia (fuera de convenio). Trabajo Remoto: La empresa ofrece a los colaboradores un esquema de trabajo remoto al 100% o un esquema mixto de trabajo remoto y trabajo presencial en las oficinas de la empresa. El esquema elegido, o cualquier cambio posterior a la elección, debe ser consensuado y aprobado previamente por RRHH y el líder.Revisamos competitividad del nivel salarial de cada puesto respecto del mercado IT 2 veces al año.Beneficios Inmediatos: Vacaciones: 3 semanas de vacaciones desde el ingreso (Días Hábiles)Horario Flexible: Cumpliendo las 9 horas de trabajo (8 laborales + 1 de almuerzo), podrá optarse por comenzar la jornada laboral entre las 8 y 11hs y finalizar entre las 17 hs y las 20 hs.Prepaga OSDE 210: Se ofrece a los empleados la medicina prepaga OSDE plan 210 cubriendo los costos de:–         Hijos: menores de 21 años, y siempre que no se encuentren en una relación laboral o bajo el régimen monotributista.–         Pareja conviviente: parejas de hecho, unión civil, convivientes, matrimonio.Reconocimiento de gastos para el trabajo remoto: A través de un ítem no remunerativo en los recibos de sueldo, con un monto fijo por mes para acompañar los gastos que tienen los empleados al trabajar desde sus casas. Dicho monto será revisado en conjunto con las revisiones salariales.Junto a Vos!: Es un beneficio con descuentos en compras, cursos, actividades libres, etc., a través de la empresa Cuponstar y con una aplicación web y mobile. (Más de 1600 descuentos en primeras marcas de todo el país (por lo menos 200 en cada provincia. Cursos con descuentos, etc.  Segmento dedicado a mejorar el bienestar de los empleados (clases semanales de Yoga, Respiración, meditación, Charlas de El arte de vivir, charlas de comida saludable, etc.). Los colaboradores se registrarán desde el sitio y acceden de forma totalmente gratuita.Subsidiamos un seguro de vida con amplia cobertura. Disponemos de un Salón de Usos Múltiples (SUM) que cuenta con: TV, microondas, heladera, cafetería. Beneficios cumplidos los 3 meses de antigüedad en la empresa:Licencia día de Cumpleaños: Los Colaboradores gozarán de 1 día completo de licencia por el día de su cumpleaños. Cada empleado podrá disponer de su día de cumpleaños en la semana del mismo (a coordinar con el líder). Se hace extensivo a todos los colaboradores por igual, cumplan o no un día de fin de semana o un feriado.Licencia por paternidad: La empresa otorga 5 días de corrido, adicionales a los 2 que dicta La ley de contrato de trabajo, siendo así la licencia de 7 días corridos en total.Orientación para el bienestar Psico-laboral: Contaremos con un servicio tercerizado donde cada colaborador podrá conversar con un profesional, en un ámbito privado y confidencial, en cuestiones relacionadas al bienestar psico-laboral, equilibrio vida trabajo, así como el acompañamiento para superar problemáticas relacionadas al nuevo contexto del trabajo remoto.Clases de Inglés grupales: Brindamos cursos de inglés (grupales y de manera on line), para todos los colaboradores que lo soliciten.Desarrollo de carrera en base a méritos: 3 categorías (JR, SSR, SR) por puesto y 6 niveles por categoría.Beneficios a empleados a partir del primer año de antigüedad:Otorgamos un premio por excelencia al desempeño al personal de hasta un sueldo bruto."

Senior React Engineer 100% remoto pago en USD LATAM,"Remoto, REM","Progres SA is looking for a Senior React Engineer. Our client is a software company located in the United States.Full-time (long term positions, flexitime, remote)Language requirements: Advanced level of English.Location: LATAM Technical Competencies5+ years of front end development experience4+ years of JavaScript, HTML, and CSS development experience2+ years of React development experience using Node.js as backendExperience developing responsive web appsExperience working with Azure (preferred), AWS, Heroku, or Google Cloud ServicesUnderstanding of fundamental design principles behind a scalable applicationUnderstanding software design concepts and task estimatesProficient understanding of code versioning tools such as GitBack end experience is a great plusExperience working with Docker is a great plus"

Desarrollador SalesForce Ssr,"Ciudad Autónoma de Buenos Aires, Buenos Aires",

JAVA SOFTWARE ENGINEER,"Cordoba, Córdoba","AVA SOFTWARE ENGINEER [Oferta Laboral] Sueldo 3000 Dolares.We're seeking a talented and dedicated Java Software Engineer to join our team in a highlycollaborative, fast-paced, high energy environment. Our ideal candidate has a passion for clean code, ahunger to take on challenging and exciting projects as well as a unrelenting drive to learn and teachothers.ResponsibilitiesDevelops information systems and applications by studying operations; designing, developing, andinstalling software solutions; supports software team. This positions reports directly to the Director ofTechnology or otherwise as directed. Other responsibilities include:● Develops software solutions by studying information needs; conferring with users; studyingsystems flow, data usage, and work processes; investigating problem areas; following thesoftware development lifecycle.● Determines operational feasibility by evaluating analysis, problem definition, requirements,solution development, and proposed solutions.● Documents and demonstrates solutions by developing documentation, flowcharts, layouts,diagrams, charts, code comments and clear code.● Prepares and installs solutions by determining and designing system specifications, standards,and programming.● Updates job knowledge by studying state-of-the-art development tools, programmingtechniques, and computing equipment; participating in educational opportunities; readingprofessional publications; maintaining personal networks; participating in professionalorganizations.● Protects operations by keeping information confidential.● Provides information by collecting, analyzing, and summarizing development and serviceissues.● Accomplishes engineering and organization mission by completing related results as needed.● Supports software engineers by providing advice and training.Minimum of 3 years working experienceas Java developer● Masters in Computer Science preferred,Bachelor's required.● Passion for agile development and pairprogramming● Ability to work unsupervised● Desired key skills and knowledge offollowing technologies:● JAVA, AngularJS, Spring Boot, JPA, WebServices (rest)● Maven or Gradle● MongoDB, Tomcat● AWS * Design patterns, GIT● Knowledge of Machine Learning Algorithmsand Computer vision● Knowledge of Big Data Architecture● Deep understanding of computer sciencefundamentals (OOP, data structures,algorithms)● Long-term thinker who is committed toexcellence, teamwork, and the professionalgrowth of their peers● Interpersonal skills to include effective verbaland written communication with staff, keyleaders and other departments"

Desarrollador Fullstack java + angular,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador Fullstack java + angular para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:Desarrollador Fullstack con conocimiento en aplicaciones Web +3 años de experiencia en el puesto.Experiencia en metodologías ágiles y DevSecOpsDesarrollo de aplicaciones webAngular Versión 7 (Excluyente), Microfront, typescript, javascript, html, css (sass, bem)Frameworks FrontEnd (react, vueJs, bootstrap)Desarrollo de servicios. microservicios, Java(Excluyente), pl/sql(Excluyente), json, swaggerConocimiento en Servicios RESTPrincipales responsabilidades:Diseño y codificación de módulos de software completos.Realización de revisiones de código  ¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista S/Sr Fullstack,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista S/Sr Fullstack para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:Graduado o estudiante de la carrera de Ingeniería en Sistemas de información (o afines), que se encuentren cursando materias del 3do año o posterioresAl menos 3 años de experiencia en puestos de Analista desarrollador java full stack.Conocimientos técnicos en:Java, pl/sqlSpring (Spring boot, Spring Batch), Hibernate,xml, json, swagger.Conocimiento en desarrollo de aplicaciones webDesarrollo de servicios.GITComandos básicos de linuxSe considera un plus:Haber trabajado con Metodologías AgilesHaber trabajado con Websphere App Server, Base de datos Oracle, Jenkins, HPQC, DevTest (LISA)Conocimientos de Angular, javascript""haber trabajado para entidades financieras Descripción de tareasParticipación de proyectos en impliquen desarrollos en aplicaciones relacionadas a de banca electrónica de canales corporativos.Mantenimiento de las aplicaciones y soporte a la producción de 2do nivel para analisis y resolución de incidentes productivos.Participación de reuniones de definiciones ténicas/funcionalesQué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista Programador FullStack (Java +Angular),"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista Programador FullStack (Java +Angular) para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes:Estudios y Conocimientos Carreras afines a sistemasExperiencia laboral 2 o 3 años en area de desarrollo Conocimientos técnicos Java, SQL, JSON, XML, AngularGITSPRINGComandos UNIX básicosMETODOLOGIAS AGILE Idioma InglesPrincipales responsabilidades:Desarrollo de aplicaciones con las herramientas indicadas.Mantenimiento de aplicaciones.Análisis y Diseño de nuevas soluciones.   Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Desarrollador Java Jr / S/Sr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador Java Jr / S/Sr  para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:Estudiante o egresado de carreras de sistemas / informaticaExperiencia laboral Desarrollo de aplicaciones Java 6 o más.Conocimientos de patrones de diseño y arquitecturas REST / Microservicios.Experiencia en desarrollo y mantenimiento de aplicaciones.Se valorará experiencia en Front End, preferentemente utilizando Angular 7+. Así como en desarrollos bajo metodologías ágiles.Conocimientos técnicos ""Java, WebServices . Arquitectura REST / Microservicios / OpenApijUnit, mavenOracle / SQLWebSphere / Apache Tomcat / Nginx / Node.jsPreferentemente conocimientos de Integración y delivery continuo. Jenkins, Gitlab, Nexus, SonarEntorno de desarrollo Ecplise. Versionado de codigo con gitLinux, shell scriptPrincipales responsabilidades: Diseño, Desarrollo y prueba de nuevas aplicaciones o de modificaciones a las existentes. Mejoras y MantenimientoDar soporte a la producción de las aplicaciones a su cargoSoporte al usuario directo Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Testing Data Collector Sr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Testing Data Collector Sr para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes:Egresado o Estudiante avanzado de carreras de Sistemas o afínConocimientos de plataformas mainframeBúsqueda de datos utilizando herramientas de queriesConocimientos de programaciónConocimientos de TSO, JCL , VSAMHerramientas de OfficeSería un plus:Conocimientos de productos y procesos BancariosUnix, LinuxExperiencia laboral Experiencia bancariaExperiencia en áreas de sistemas o ingenierías, en plataforma mainframeConocimientos de bases de datos en plataformas Unix, Linux, mainframeConocimientos de DB2 mainframe, SPUFI y QMFConocimientos Cobol y CICSConocimientos de Content Manager (IBM) para búsqueda de informaciónConocimientos de On Demand (IBM) para búsqueda de informaciónIdioma Ingles (Intermedio)Principales responsabilidades:Mantenimiento de los ambientes mainframe de QACoordinación y Alocación de ambientes para las distintas pruebas desarrolladas en mainframe QABúsqueda de datos para pruebas UATGestión de procesos administrativos del área¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Desarrollador/a BPM,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador/a BPM para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:Programacion: Java/JavascriptExperiencia en Bases de datos: SQLServer, OracleExperiencia en BPM v8.5 +Diagramas de flujoProcess DesignerSeria un plus:WebservicesEstándares SOAP RESTHTMLCSSXML Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Full Stack Sr. Con React,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Full Stack Sr. Con React para sumarse a una importante empresa de turismo. Buscamos que cuentes con las siguientes aptitudes excluyentes:Experiencia como programador de 4 añosReactGoJAVA.NETAngularPrincipales tareas:Desarrollo de aplicaciones web utilizando tecnologías React y Go."

Analista Técnico Programador AS400,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista Técnico Programador AS400 para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:Conocimientos PL/SQLDTSxPlataformas SOASeria un plus:Conocimientos en java 6+Spring FrameworkJavascriptCSSUMLSQLHibernateGradle/MavenWebsphereWeb ServiceSOAP / REST.Principales tareas:Proponer, analizar y diseñar soluciones a requerimientos de negocioDeterminar la factibilidad técnica del proyectoRealizar estimaciones y verificar que las mismas se desarrollen en tiempo y forma.Dar soporte funcional y técnico al equipoAsegurar la calidad del código del equipo Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista Desarrollador SharePoint Ssr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista Desarrollador SharePoint Ssr para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:SharePoint 2013Programación orientada a objetosASP.NET C#Modelo de objetos servidor y cliente SharePointDesarrollo de SharePoint webparts y appsHTML, XML, JSON, CSS, JavaScript, JQueryTemplates, site y list definitionsWorkflows OOB, Designer, Visual StudioPowerShellWebServices y APIs RESTPrincipales tareas:Desarrollo y mantenimiento de las aplicaciones del banco. Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista Programador Cobol AS400 + DB2,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista Programador Cobol AS400 + DB2 para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:AS400DB2Seria un plus:JAVA.NET.DTSx SQL ServerConocimientos en aplicaciones BancariasCash Management & Trade (Comercio Exterior) Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista Programador Cobol,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Analista Programador Cobol para sumarse a una importante entidad bancaria. Buscamos que cuentes con las siguientes aptitudes excluyentes:CobolSQL ServerHerramientas de versionado (preferentemente Harvest)Scheduler (preferentemente Ctrlm)Conocimientos de plataforma AIX (UNIX)Preferentemente conocimientos de plataforma Mainframe (Cobol, DB2, Vsam, JCL).Principales tareas:Análisis, desarrollo y mantenimiento de aplicaciones bancarias. ¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Programador Java Ssr / Sr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Programador Java Ssr / Sr para sumarse a una importante empresa de seguros. Buscamos que cuentes con las siguientes aptitudes excluyentes:Programación front y back-endStored proceduresReportingRevisión de códigoTestDocumentación técnicaEstimación de tiempos y evaluaciones de arquitectura y diseño que se requieran para mejoras de performance o seguridad. El trabajo se desarrollará dentro de un esquema de Integración Continua con TeamCity, conectado al repositorio GIT.El esquema se puede complementar con SonarQUBE. Principales tareasSoporte a una aplicación J2EE / SQL Server a partir de las especificaciones funcionales provistas ¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Analista programador Ssr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades.En esta oportunidad estamos buscando un/a  Analista programador Ssr para sumarse a un importante grupo de salud.Buscamos que cuentes con las siguientes aptitudes excluyentes:Conocimientos intermedios de Software Web; cliente/servidor orientado a objetos, metodologías de desarrollo y  desarrollo de sistemas con arquitectura de tres capas con .NET; Visual Basic 6.0.; HTML y SQL Server. Herramientas básicas de liderazgoSe requiere conocimiento en las siguientes tecnologias/framework/paradigmas:HTML5CSS3AngularBootStrapJQUERYLess/SassMVCWebServicesWCFWebApiSQL ServerSEODiseño web ResponsiveCrossBrowserPlataformas DigitalesMetodologias agiles (Scrum) de gestion de proyectos. Estudiante avanzado de Ingenieria/Licenciatura en sistemas, Ciencias de la computacion o afines.Mínimo de 1 año preferentemente en empresas de saludPrincipales responsabilidades:Analizar requerimientos y realizar la especificación de desarrollo para Asegurar que especificación de desarrollo satisfaga los requerimientosCodificar de los programas en base la especificación y los estándares de programación para Asegurar que los programas respondan a la especificación y a los estándares de programaciónDesarrollar y ejecutar pruebas de los programas para Verificar el correcto funcionamiento de los programas desarrollados.Preparar y actualizar la documentación de técnica de desarrollo para Mantener las aplicaciones documentadas en todas las fases de Progración; Pruebas e Implementación.Asegurar que los desarrollos contentan buenas practicas de programacion acorde al momento en que se realizan para Actualizar y mantener los desarrollos para el funcionamiento optimo de los mismos."

Desarrollador Java SSR o JR,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador Java SSR o JR para sumarse a una importante empresa de medios. Buscamos que cuentes con las siguientes aptitudes excluyentes:Experiencia en desarrollo web​Experiencia en los frameworks:​- Spring (principalmente Security , WebService y aspects)​- Struts 2​- Hibernate​- Jquery​Seria un plus:- Jboss/WildFly​- Python​- React ¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Desarrollador .Net (React + Angular),"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades.En esta oportunidad estamos buscando un/a  Desarrollador .Net para sumarse a una importante Cadena de Gimnasios. Buscamos que cuentes con las siguientes aptitudes excluyentes:Experiencia en funciones similares de por lo menos 5 años.Sólido dominio de Programación Orientada a Objetos (SOLID).ReactJS 15+.Angular 7+.Html5, CCS, Boostrap 3 o superior.JS, JQUERY, .Net ASP, WebForms, C#, Entity Framework.Net Core 3.x.Base de datos SQL Server, TSQL.Git.Integración entre aplicaciones (API, Web Services, etc).Análisis de sistemas (ingeniería de requerimientos, especificaciones, diseño, testing).Arquitectura de Microservicios.Sería un plus:Patrones de diseño.DDD, TDD.Unit Test.Plataforma Azure.Docker ´Principales responsabilidades:Desarrollar nuevas aplicaciones y herramientas complementarias de los principales sistemas de la Entidad.Colaborar en la implementación de nuevas metodologías.Proponer y velar en la organización, metodología, herramientas e indicadores necesarios que permiten el crecimiento del área de Desarrollo.Administrar y velar por la seguridad, integridad y disponibilidad de los códigos fuentes de los diversos sistemas desarrollados en la Entidad.Mejorar constantemente la eficiencia y la estabilidad de las aplicaciones desarrolladas.Participar en el relevamiento de las necesidades, especificación de los trabajos requeridos, en el análisis de la situación y en el diseño de la solución a aplicar.Validar los desarrollos realizados en forma personal.Realizar pruebas unitarias y globales sobre los desarrollos en forma previa a su liberación."

