Title,City,Descriptions

Angular Frontend Developer,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Dancan nos encontramos en búsqueda de Desarrolladores Frontend Angular versiones 4+ en adelante con al menos 1 año y medio de experiencia, para sumarse a importante compañía de tecnología especializada en el desarrollo de operaciones en América Latina y Estados Unidos.Los perfiles que buscamos esperamos que cuenten con: Excluyentes:- Manejo de semantic HTML- Manejo avanzado de CSS- Conocimientos de SASS (en su formato SCSS)- Manejo de Flexbox- Conocimiento de ES6- Conocimiento de interacción con APIs REST- Manejo de Local Storage/Cookies- GitConocimientos técnicos deseables:- Conocimiento de CSS Modules.- Manejo de CSS Grid.- Conocimiento de Unit Testing.- Deploy de web apps en servicio de cloud storage.- Manejo de NgRx o algún patrón de state management.Beneficios:-Posición 100% remota desde cualquier parte de Argentina o Colombia.-Modalidad de trabajo flex time, por objetivos. ¡Vos organizás tu jornada!-Prepaga Swiss Medical para el grupo familiar Si estás interesad@ en formar parte de un equipo compuesto por los mejores profesionales y trabajar orientado a objetivos en un entorno innovador, ¡esperamos tu postulación!"

PHP/ Backend Developer- Laravel,"Cordoba, Córdoba","SKILLS REQUIRED:PHP, Object-Oriented Programming, MySQL, PHP Framework, MVC, Design Patterns, Scalability, LAMP, Back-End DevelopmentJOB DESCRIPTIONWe are an established web based business that primarily acquires and markets online adult media through highly visible and recognizable adult brands.What you need for this position:- Experience building high traffic 24x7 web applications in PHP- Worked with scalability issues, caching queuing and distributed storage.- Well versed in Object Oriented Programming- Experienced with technologies like MySQL, Memcached, Nginx, and PHP frameworks- You have a degree in Computer Science or 5+ years of relevant engineering experience- Master of of HTML/CSS/Javascript- Advanced knowledge of design patterns, and best practices- Self-motivated, able to work independently, and in a team environmentNice to have:- Experience with Laravel Framework- Experience with Git.- Experience with NodeJS- Understanding of Agile development (scrum)What you'll be doing:- Developing high traffic applications with PHP- Learning new technologies to improve performance and scalability- Optimize / enhance web applications with millions of page requests- Work with existing systems to improve usability issues"

Buscamos el mejor Talento IT en latino america- ULTRIX,"Cordoba, Córdoba","Ultrix Mandanos tu CV a Evillafane @ultrix.digitalHola! Mi nombre es Emma y soy parte del equipo de Ultrix (https://ultrix.digital). Estamos creciendo un montón y estamos buscando el mejor talento IT de Argentina y la región, conectemos así estás al tanto de nuestras búsquedas! Mandame tu Cv por mensaje asi te tenemos en cuenta, Saludos."

Blockchain Specialist. Solidity,"Cordoba, Córdoba","Blockchain Required Qualifications:Extensive expirience maintaning OPEN SOURCE proyects.Experience writing smart contracts with SOLIDITYStrong expirience with NODE JS, JAVASCRIPT, TYPESCRIPT, REACTCan work with high autonomy Strong communication and problem solving skillsExpert level in Javascript, Es6+Strong Expirience with type-safe languagesExperience with Dockers and Kubernetes.Expirience working with Scrum and Kanban, preferably in a distributed teamStrong experience in automated testing frameworks,units tests and CI/CDFamiliarity with, and in BLOCKCHAIN technologiesProficiency in asynchronous programming tecniquesStrong grounding in Web-application SecurityUnderstanding Fundamental design principles around designing scalable applicationsExperience with GIT."

Blockchain Specialist. Solidity,"Cordoba, Córdoba","Blockchain Required Qualifications:Extensive expirience maintaning OPEN SOURCE proyects.Experience writing smart contracts with SOLIDITYStrong expirience with NODE JS, JAVASCRIPT, TYPESCRIPT, REACTCan work with high autonomy Strong communication and problem solving skillsExpert level in Javascript, Es6+Strong Expirience with type-safe languagesExperience with Dockers and Kubernetes.Expirience working with Scrum and Kanban, preferably in a distributed teamStrong experience in automated testing frameworks,units tests and CI/CDFamiliarity with, and in BLOCKCHAIN technologiesProficiency in asynchronous programming tecniquesStrong grounding in Web-application SecurityUnderstanding Fundamental design principles around designing scalable applicationsExperience with GIT."

Desarrollador de Aplicaciones Sr.,"Martinez, Buenos Aires","Estamos en búsqueda de un Desarrollador de Aplicaciones Avanzadas para Importante Entidad Bancaria de la zona de Martinez. El candidato debe ser estudiante avanzado o graduado de la Carrera de Ingeniería o afines, poseer una experiencia mínima de 3 años en tareas comprobables. Tener actitud proactiva y responsable. Inglés avanzado. Conocimientos técnicos: JavaOracle, PL/ SQL y SQLLinux Responsabilidades/ Tareas: Capacidad para realizar la resolución de problemas Gestionar pequeños proyectosComprender y cambiar las especificaciones funcionalesComprender el Código (PL/SQL, JAVA/ J2 EE, HTML, JSP, Javascript, Websphere)Cambio de códigosCreación y ejecución de scripts (Linux, SQL y PL/SQL)Hacer pruebas en el entorno SIT y Desarrollo a los usuarios en UATCargar código en el repositorio, promoverlo en el entorno DEV, SIT y / UAT  Si te interesa la propuesta, envianos tu Currículum Vitae con foto actualizada y remuneración bruta pretendida. En caso de que tu perfil, aplique para la misma, nos comunicaremos con vos a la brevedad."

Analista Desarrollador PL/ SQL Ssr.,"Martinez, Buenos Aires","En nuestra Empresa estamos en la busqueda de un Analista Desarrollador PL/SQL Ssr. con experiencia minima de 3 años en desarrollo PL/SQL preferentemente en ambientes de datawarehouse con procesos batch.Requerimientos para el puesto: - Estudiante o graduado en Ingenieria en Sistemas o afines- Experiencia en revision/ entendimiento de documentación orientada a transformaciones y mapeo de datos-  Desarrollo en Oracle PLSQL- Capacidad analitica, flexibilidad, proactivudad, compromiso- trabajo en equipo- Inglés intermedioSi te interesa la propuesta y crees aplicar con tu perfil, mandajos tu CV junto con una foto actualizada y tu remuneración bruta pretendida. En caso de aplicar nos comunicaremos con vos a la brevedad."

Desarrollador Openshift Sr.,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de Desarrollador Openshift Senior para sumarse a un equipo de trabajo para importante proyecto. Las tareas implican trabajo remoto hasta Marzo 2021 y presencial post pandemia. Zona Cohglan. Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de 3 años para sumarse a un equipo de trabajo. El candidato debe poseer:Experiencia en la gestión del ciclo de vida de desarrollo de productos con actualizaciones periÃ³dicas y operaciones en PRD. o Conocimiento avanzado y actual de herramientas de construcción e integración continua con las mejores prácticas. o Experiencia diseñando y construyendo pipelines de entrega continua y despliegue continuo para múltiples plataformas. o Experiencia en entornos variados y complejos de desarrollo y producción  24/7. o Experiencia trabajando con la configuración del área de comandos y la resolución de problemas en un entorno Linux / Windows.  Skills: Openshift o que sepa desarrollo y empaquetar en docke.Se acepta: Perfil con Docker o Kubernetes y transformarlo a Openshift  Skills deseados:o Jenkins P3 o TeamCity P3 o Git P3 o MS TFS P3 o Maven P3 o Gradle P3 o Sumologic P2 o Graylog P2 Ingles Intermedio a Avanzado.   En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral."

Analista Desarrollador ETL- AB Initio Jr Ssr,"Martinez, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de un Analista Desarrollador ETL AB Initio para sumarse a un equipo de trabajo para importante Empresa Entidad Bancaria de la zona de Martinez.Nos orientamos a un candidato Jr. / Ssr con experiencia de 1 año con compromiso, actitud y ganas de aprender.  Los requisitos son  Seniority: Junior.  Conocimientos básicos de UNIX. Conocimientos básicos de SQL.  Manejo de Inglés intermedio. Conocimientos Básicos de ETL  En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral."

